X         Y         Z         data
84.9482   -2.96646  0         152.5
84.8835   -4.44856  0         156.7
84.7929   -5.9293   0         135.9
84.6766   -7.40824  0         149.2
84.5344   -8.88492  0         145.9
84.3664   -10.3589  0         128.4
84.1728   -11.8297  0         143.4
83.9535   -13.2969  0         119.2
83.7087   -14.7601  0         120.0
83.4383   -16.2188  0         119.2
83.1425   -17.6725  0         116.7
82.8215   -19.1208  0         118.3
82.4751   -20.5634  0         123.4
82.1037   -21.9996  0         107.5
81.7072   -23.4292  0         119.2
81.2859   -24.8516  0         113.3
80.8398   -26.2664  0         129.2
80.3691   -27.6733  0         102.5
79.8739   -29.0717  0         114.2
79.3543   -30.4613  0         135.0
78.8106   -31.8416  0         125.9
78.2429   -33.2122  0         115.9
77.6514   -34.5726  0         136.7
77.0362   -35.9226  0         116.7
76.3975   -37.2615  0         125.0
75.7356   -38.5892  0         141.7
75.0506   -39.9051  0         150.0
74.3427   -41.2088  0         139.2
73.6122   -42.5     0         160.9
72.8592   -43.7782  0         160.9
72.0841   -45.0431  0         170.9
71.287    -46.2943  0         156.7
70.4682   -47.5314  0         168.4
69.6279   -48.754   0         190.9
68.7664   -49.9618  0         202.5
67.884    -51.1543  0         171.7
66.9809   -52.3312  0         192.5
66.0574   -53.4922  0         205.1
65.1138   -54.6369  0         208.4
64.1503   -55.765   0         210.9
63.1673   -56.8761  0         194.2
62.1651   -57.9699  0         229.2
61.1439   -59.046   0         194.2
60.1041   -60.1041  0         212.6
59.046    -61.1439  0         233.4
57.9699   -62.1651  0         232.6
56.8761   -63.1673  0         215.9
55.765    -64.1503  0         200.0
54.6369   -65.1138  0         185.9
53.4922   -66.0574  0         179.2
52.3312   -66.9809  0         196.7
51.1543   -67.884   0         216.7
49.9618   -68.7664  0         182.5
48.754    -69.6279  0         180.9
47.5314   -70.4682  0         200.0
46.2943   -71.287   0         170.9
45.0431   -72.0841  0         170.0
43.7782   -72.8592  0         174.2
42.5      -73.6122  0         214.2
41.2088   -74.3427  0         160.0
39.9051   -75.0506  0         183.4
38.5892   -75.7356  0         197.5
37.2615   -76.3975  0         168.4
35.9226   -77.0362  0         183.4
34.5726   -77.6514  0         183.4
33.2122   -78.2429  0         193.4
31.8416   -78.8106  0         192.5
30.4613   -79.3543  0         225.1
29.0717   -79.8739  0         200.0
27.6733   -80.3691  0         218.4
26.2664   -80.8398  0         216.7
24.8516   -81.2859  0         208.4
